No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
215,HBI,5.81B,72.50,8.74,4.50,0.85,9.29,-,12.23,-119.60%,5.25%,-18.20%,16.13%,3.10%,16.82,0.72%,"3,513,744"
216,HE,4.59B,19.09,19.47,14.68,1.68,1.93,20.13,-,-5.10%,3.84%,3.80%,1.30%,-0.20%,42.16,1.98%,"608,920"
217,HESM,7.79B,15.73,11.57,0.72,6.75,4.76,2997.21,14.67,8.90%,18.48%,-17.90%,22.00%,14.10%,25.82,0.55%,"390,682"
218,HFC,5.10B,11.04,8.54,-,0.33,0.91,3.44,8.84,-180.80%,64.63%,-24.20%,-6.61%,-3.30%,31.93,0.60%,"1,399,320"
219,HGV,5.64B,-,12.96,-,3.30,2.68,16.88,352.39,-197.40%,36.19%,-27.30%,11.54%,-9.50%,46.93,-0.55%,"971,560"
220,HI,3.56B,14.88,12.38,1.24,1.24,2.99,7.98,8.38,504.80%,10.10%,13.40%,12.00%,13.20%,49.26,0.74%,"424,140"
221,HIW,4.62B,17.34,32.85,2.17,6.20,1.96,165.55,33.57,155.90%,-21.26%,31.80%,8.00%,4.00%,44.28,0.54%,"1,029,555"
222,HL,2.60B,107.95,23.06,-,3.21,1.46,13.63,31.76,83.90%,80.70%,32.50%,-,9.30%,4.75,-0.84%,"19,860,424"
223,HLF,4.30B,8.90,7.76,-,0.73,-,6.35,12.42,26.10%,2.40%,6.90%,-0.50%,4.40%,38.42,2.24%,"1,151,973"
224,HOG,5.87B,11.06,10.73,0.26,1.16,2.50,2.85,7.38,-99.70%,-4.49%,-3.28%,43.10%,-7.50%,37.93,0.29%,"2,177,345"
225,HOMB,3.96B,12.24,15.89,2.45,6.19,1.46,1.21,13.60,-24.80%,-20.30%,5.20%,5.00%,12.40%,24.27,-0.08%,"784,378"
226,HPE,19.56B,5.75,7.31,0.32,0.70,0.97,4.90,7.13,43.00%,5.04%,6.70%,17.77%,-1.70%,14.79,1.51%,"10,804,846"
227,HPP,3.79B,-,230.00,-,4.40,1.11,34.27,7.75,-99.10%,613.33%,15.00%,9.00%,9.10%,24.61,0.29%,"967,272"
228,HPQ,41.47B,6.65,8.69,0.38,0.65,-,9.64,8.48,166.10%,11.82%,28.40%,17.29%,5.60%,36.26,1.85%,"8,922,836"
229,HQY,3.49B,-,26.37,-,4.70,1.81,5.37,24.51,-79.90%,10.49%,-16.20%,5.05%,42.10%,40.55,0.77%,"1,579,450"
230,HR,4.74B,168.88,98.60,16.89,9.05,2.16,296.47,-,80.60%,-17.22%,-2.30%,10.00%,5.20%,31.75,1.99%,"1,276,781"
231,HRB,4.30B,13.99,7.67,1.40,1.43,268.44,4.83,54.00,-84.20%,9.76%,-24.20%,10.00%,-31.30%,24.16,2.50%,"1,902,795"
232,HRL,25.67B,29.27,25.03,4.07,2.25,3.88,82.88,217.40,-7.50%,13.44%,5.50%,7.20%,0.70%,48.59,1.44%,"3,061,553"
233,HRMY,2.33B,200.92,17.33,-,8.62,14.97,12.29,32.94,61.70%,242.32%,-,-,-,39.38,2.55%,"533,599"
234,HST,11.43B,-,62.00,-,5.29,1.84,9.72,-,-182.40%,195.30%,-27.70%,28.40%,-21.30%,15.81,-1.62%,"7,596,522"
235,HTA,7.46B,67.96,75.78,-,9.84,2.36,582.96,206.13,65.00%,-3.06%,-1.60%,-,12.80%,33.57,0.42%,"2,104,759"
236,HTH,2.77B,6.85,13.35,0.46,5.10,1.13,0.86,2.75,100.50%,-42.30%,17.00%,15.00%,3.10%,35.06,-0.14%,"1,043,276"
237,HTLF,2.08B,10.26,10.76,1.03,3.55,1.02,5.00,7.52,-13.60%,-9.15%,4.80%,10.00%,15.10%,49.82,1.38%,"189,370"
238,HTZ,10.97B,-,9.20,-,1.66,2.50,4.06,9.28,-632.60%,-39.65%,-65.50%,-,-10.20%,22.31,-1.20%,"4,471,474"
239,HUN,6.98B,9.03,8.56,0.79,0.89,1.89,13.83,-,-31.30%,8.40%,-6.20%,11.39%,-5.90%,32.36,1.41%,"1,915,748"
240,HWC,4.27B,10.06,9.94,1.26,4.27,1.17,1.19,7.86,-114.60%,-1.66%,-18.40%,8.00%,9.30%,48.90,0.70%,"518,362"
241,HWM,12.81B,46.14,21.28,1.38,2.60,3.65,17.69,114.36,65.70%,40.06%,23.60%,33.55%,-15.80%,29.99,1.04%,"2,006,748"
242,HXL,4.16B,-,37.97,-,3.30,2.77,39.28,27.04,-89.50%,422.98%,-31.20%,-,-4.20%,49.25,-0.22%,"1,172,338"
243,IAA,6.48B,22.69,19.04,-,3.87,21.84,22.64,29.41,0.30%,3.80%,16.40%,-,6.90%,47.82,-0.40%,"963,797"
244,IEP,13.95B,271.36,87.90,-,1.19,2.88,3.78,-,-40.40%,54.10%,4.40%,-,-16.70%,49.93,0.42%,"468,012"
245,IHRT,2.72B,-,11.22,-,0.79,3.47,7.36,18.30,-118.10%,226.30%,-24.50%,7.00%,-13.90%,19.33,-2.32%,"834,838"
246,INVH,25.57B,95.03,76.95,8.81,13.18,2.61,44.89,81.21,29.40%,28.05%,21.70%,10.79%,16.90%,42.86,1.71%,"4,606,549"
247,IP,18.00B,10.14,9.83,0.53,0.82,1.87,8.48,12.20,-60.40%,11.30%,-9.70%,19.20%,-0.10%,46.20,1.45%,"5,427,414"
248,IPG,14.11B,20.48,13.94,1.18,1.43,4.51,5.67,9.22,-46.80%,0.66%,-4.00%,17.40%,3.50%,36.38,-0.74%,"3,893,649"
249,IRDM,5.42B,-,328.02,-,8.96,4.15,18.76,22.01,68.40%,242.90%,-36.90%,10.00%,7.20%,41.33,3.53%,"1,191,906"
250,IRM,14.00B,22.61,30.44,3.51,3.19,14.74,86.76,-,27.80%,8.47%,15.40%,6.44%,6.60%,49.53,2.55%,"2,453,775"
