No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
453,SM,3.47B,-,5.96,-,1.66,2.20,116.32,3.53,-304.60%,275.34%,-0.30%,10.00%,-5.70%,29.64,1.44%,"3,608,839"
454,SMCI,2.14B,20.33,10.61,2.03,0.56,1.90,7.94,-,31.00%,23.76%,8.50%,10.00%,9.80%,42.38,1.80%,"223,940"
455,SMPL,3.59B,93.66,24.12,9.88,3.57,3.05,47.72,28.47,-37.10%,12.15%,24.20%,9.48%,18.60%,37.84,-0.21%,"366,977"
456,SNAP,76.97B,-,80.99,-,20.63,21.29,22.11,-,13.60%,58.73%,-15.00%,-,111.90%,46.41,-0.94%,"23,602,930"
457,SNDR,4.62B,13.28,11.56,0.67,0.87,2.01,8.40,47.54,43.80%,3.93%,8.00%,19.80%,2.80%,25.99,-0.50%,"495,098"
458,SNV,6.80B,10.33,11.07,1.29,4.08,1.46,2.53,8.04,-34.20%,-9.90%,7.10%,8.00%,13.80%,46.98,1.60%,"1,205,291"
459,SONO,3.91B,25.19,16.96,1.48,2.28,6.64,6.10,18.81,717.10%,22.86%,37.50%,17.00%,13.80%,29.90,2.78%,"2,230,955"
460,SPWR,3.75B,11.69,46.29,-,2.93,10.31,6.48,-,136.70%,74.81%,33.50%,-,-6.50%,21.85,3.11%,"3,982,406"
461,SQSP,4.07B,-,40.56,-,5.38,-,17.52,26.95,2.40%,-5.21%,-,-,-,28.80,-0.83%,"376,927"
462,SRC,5.78B,37.51,34.62,1.00,9.95,1.54,370.58,65.62,-91.70%,1.11%,-11.70%,37.47%,-6.20%,47.15,-0.08%,"1,140,057"
463,SRNE,2.21B,-,3.71,-,43.11,14.05,13.60,-,41.00%,282.40%,-0.90%,37.00%,54.20%,6.18,1.31%,"5,682,513"
464,STAG,7.63B,36.14,72.63,5.16,14.01,2.50,181.64,89.02,278.20%,-19.31%,33.60%,7.00%,17.20%,45.54,1.02%,"1,554,161"
465,STEP,4.68B,24.10,30.24,-,3.88,5.89,26.73,23.45,0.00%,-4.42%,0.00%,-,-,42.49,0.05%,"383,648"
466,STL,4.69B,13.02,11.72,2.60,5.04,1.00,4.35,8.45,-44.90%,4.45%,13.30%,5.00%,23.80%,24.45,0.95%,"1,871,772"
467,STOR,9.31B,36.91,31.42,6.06,12.48,1.81,251.67,-,-32.10%,14.00%,4.60%,6.09%,19.50%,34.03,0.80%,"1,424,448"
468,STWD,6.88B,14.83,10.94,2.97,5.88,1.50,25.18,-,-35.40%,4.76%,-9.60%,4.99%,9.10%,23.60,1.77%,"4,083,941"
469,SUM,4.57B,32.22,27.04,1.46,1.87,2.62,17.70,23.93,129.60%,32.29%,34.00%,22.00%,10.20%,38.99,0.65%,"532,578"
470,SUN,3.09B,7.38,8.76,2.84,0.20,3.91,35.12,49.85,-42.70%,-24.55%,7.60%,2.60%,-2.90%,37.57,0.27%,"377,001"
471,SWCH,6.37B,155.99,123.64,6.78,11.41,11.82,181.02,-,27.90%,21.23%,-43.40%,23.00%,14.00%,26.83,1.17%,"2,631,400"
472,SWI,2.27B,25.17,12.97,2.77,2.85,0.96,3.20,16.91,742.20%,-29.74%,-,9.10%,-,14.12,1.66%,"419,124"
473,SWIM,2.97B,-,35.52,-,4.91,8.46,32.63,-,114.30%,57.17%,-,43.40%,-,25.29,0.36%,"837,520"
474,SWN,4.68B,-,3.23,-,1.04,-,390.16,585.24,-428.90%,39.06%,15.00%,-,-5.90%,4.76,0.42%,"26,658,286"
475,SYF,25.58B,6.60,8.10,0.17,1.68,1.98,2.61,3.83,-59.10%,-21.24%,-3.00%,38.20%,4.00%,46.72,-0.23%,"5,612,043"
476,T,159.01B,186.30,6.91,51.18,0.92,0.97,7.48,14.95,-139.60%,-4.33%,-18.30%,3.64%,3.20%,22.17,-0.54%,"69,504,387"
477,TAP,9.64B,-,10.87,-,0.97,0.73,15.65,10.54,-492.80%,-1.88%,-32.50%,3.48%,22.00%,44.92,-2.07%,"1,719,454"
478,TASK,4.62B,-,35.90,-,8.74,13.78,23.58,-,1.70%,4.15%,-,32.80%,-,46.85,9.92%,"789,519"
479,TDC,4.71B,40.93,23.89,2.30,2.44,10.27,7.69,11.93,760.00%,-14.65%,22.50%,17.76%,-6.20%,43.14,2.67%,"628,292"
480,TDS,2.21B,19.27,18.72,-,0.42,0.47,3.06,-,88.40%,13.66%,-0.30%,-,0.10%,19.79,-1.05%,"1,169,957"
481,TEX,3.12B,17.83,10.61,-,0.85,2.92,5.64,7.93,-95.60%,47.25%,-35.90%,-,-9.30%,43.96,0.83%,"401,344"
482,TFSL,4.96B,60.82,71.66,-,12.73,2.83,7.61,195.88,-1.20%,9.78%,0.70%,-,0.00%,17.70,-1.61%,"238,658"
483,TGNA,4.26B,7.08,6.19,0.71,1.35,1.74,83.28,8.45,67.00%,41.42%,17.00%,10.00%,10.70%,18.94,-0.73%,"1,798,985"
484,THS,2.23B,32.69,21.11,-,0.52,1.23,33.16,9.11,116.70%,63.30%,-33.80%,-1.80%,6.30%,40.96,1.59%,"573,527"
485,TMHC,4.11B,9.18,4.80,0.48,0.63,1.16,11.00,21.23,-19.90%,41.50%,1.70%,19.10%,15.50%,34.41,1.56%,"1,015,342"
486,TMX,5.14B,45.67,25.76,2.40,2.54,2.21,32.92,-,-84.10%,13.28%,-33.80%,19.00%,-5.40%,42.20,-4.42%,"3,428,147"
487,TNL,4.28B,20.45,11.04,0.58,1.47,-,12.36,10.01,-155.50%,29.82%,-21.40%,35.04%,-15.00%,48.96,0.08%,"741,256"
488,TOWN,2.26B,10.07,13.52,-,5.03,1.20,0.69,4.31,4.60%,-23.36%,10.50%,-,16.70%,31.27,0.84%,"226,292"
489,TPH,3.00B,7.42,6.12,-,0.78,1.31,5.10,6.99,48.20%,12.42%,11.30%,-0.60%,6.30%,27.32,2.48%,"1,224,815"
490,TPR,11.50B,14.37,10.64,1.63,1.90,3.69,6.94,10.82,211.60%,11.80%,9.60%,8.80%,5.00%,41.76,-1.65%,"4,549,105"
491,TPX,9.07B,16.46,12.47,0.50,1.96,25.51,18.03,15.47,90.70%,15.90%,44.90%,33.20%,3.10%,47.19,2.81%,"2,396,871"
492,TRIP,3.48B,-,19.46,-,4.48,4.33,5.10,-,-320.50%,2183.30%,-28.10%,-,-16.50%,24.87,-1.07%,"3,226,631"
493,TRN,2.82B,-,22.19,-,1.67,2.13,12.70,5.91,-359.00%,100.31%,-20.70%,10.00%,-20.70%,28.98,0.91%,"894,325"
494,TROX,3.43B,14.04,8.11,-,0.99,1.75,11.11,6.94,920.40%,18.03%,32.00%,-,12.80%,22.25,-1.11%,"1,314,742"
495,TWKS,8.60B,-,54.14,-,8.69,10.05,18.98,-,157.30%,15.77%,-,36.27%,-,27.83,-0.50%,"1,315,838"
496,TWNK,2.62B,24.58,20.30,2.44,2.38,1.48,11.50,17.86,-7.90%,9.29%,-10.10%,10.08%,10.40%,19.10,0.79%,"2,982,974"
497,TWO,2.09B,5.09,6.98,0.99,3.19,0.90,1.94,16.03,-772.90%,10.39%,-34.00%,5.16%,-,5.93,1.02%,"6,009,524"
498,TWTR,35.94B,-,46.19,-,7.49,4.90,4.85,110.81,-177.30%,681.97%,-12.90%,41.00%,10.90%,44.07,-0.63%,"14,734,793"
499,UA,8.61B,73.84,31.75,3.39,1.58,4.92,-,-,300.00%,15.40%,-,21.80%,-,19.05,0.21%,"3,205,630"
500,UAA,9.77B,24.53,28.75,0.88,1.76,5.31,7.79,16.44,-711.50%,4.01%,-26.00%,27.80%,2.50%,22.37,0.54%,"6,423,530"
501,UAL,13.56B,-,21.03,-,0.68,2.51,0.70,-,-318.50%,133.30%,-33.70%,-,-16.50%,41.50,0.29%,"14,658,365"
502,UBSI,4.75B,11.69,13.88,1.46,5.87,1.02,1.11,8.76,-5.80%,-10.70%,4.00%,8.00%,13.50%,34.97,-1.96%,"789,496"
503,UCBI,3.00B,10.93,12.65,10.93,5.07,1.45,1.60,10.31,-17.30%,-13.10%,11.90%,1.00%,14.90%,33.58,-1.70%,"1,010,998"
504,UE,2.10B,26.33,46.84,6.12,5.47,2.16,7.81,-,-13.10%,-25.49%,15.20%,4.30%,0.40%,17.80,1.25%,"1,038,695"
505,UGI,9.18B,6.65,13.31,0.95,1.23,1.78,10.74,18.04,168.50%,6.77%,26.80%,7.00%,5.50%,45.12,0.78%,"1,407,984"
506,ULCC,2.86B,-,21.25,-,1.66,4.96,3.56,-,-189.60%,195.40%,-,-,-,13.24,-1.56%,"833,948"
507,UMPQ,4.19B,8.89,11.43,0.89,4.29,1.56,1.09,8.08,-531.10%,-11.90%,-54.80%,10.00%,1.70%,19.47,0.46%,"1,222,735"
508,UNIT,3.07B,88.03,20.28,2.59,2.83,-,43.93,-,114.70%,36.62%,-,34.00%,17.50%,12.94,1.25%,"1,370,284"
509,UNM,4.95B,6.17,4.77,1.16,0.37,0.44,40.71,-,-25.80%,15.92%,2.20%,5.35%,4.10%,24.10,1.26%,"1,841,212"
510,UNVR,4.65B,17.14,12.78,0.97,0.51,2.13,21.08,28.68,148.40%,2.57%,17.80%,17.75%,-1.60%,27.05,1.05%,"1,208,082"
511,UPWK,4.52B,-,196.35,-,9.57,16.13,6.48,143.35,-27.00%,209.09%,-,-,-,33.38,1.64%,"1,792,794"
512,URBN,2.95B,9.72,9.30,-,0.68,1.71,4.74,13.13,-99.20%,-9.80%,-62.90%,-,0.00%,29.12,-0.72%,"1,483,317"
513,USFD,7.32B,194.05,12.99,-,0.26,1.98,9.48,38.13,-166.00%,56.19%,-28.30%,-,-0.20%,32.60,2.52%,"3,093,133"
514,USM,2.69B,32.78,16.87,0.82,0.65,0.60,11.66,13.54,43.40%,12.55%,-6.10%,40.10%,0.00%,31.63,-0.47%,"115,740"
515,UTZ,2.31B,-,28.42,-,2.05,1.89,86.52,-,46.30%,1.34%,-,17.97%,-,17.14,3.32%,"701,488"
516,UWMC,9.82B,0.45,7.80,-,2.12,4.82,10.33,-,354.50%,7.99%,-,-14.82%,-,6.22,-7.85%,"5,457,212"
517,VCTR,2.38B,9.78,6.61,0.84,2.76,2.73,36.75,8.13,129.00%,10.13%,119.30%,11.70%,26.40%,34.82,1.19%,"200,397"
518,VERX,2.63B,-,64.53,-,6.36,11.71,55.32,42.18,-376.40%,-3.18%,-,-,-,17.68,1.67%,"185,571"
519,VG,5.24B,-,107.01,-,3.84,8.44,108.24,33.52,-82.80%,11.49%,-27.10%,10.00%,6.90%,20.76,0.34%,"6,046,730"
520,VGR,2.38B,11.73,11.80,1.61,0.96,-,3.51,21.67,-3.90%,-24.29%,8.40%,7.30%,3.90%,15.63,2.90%,"1,054,562"
521,VIAC,19.18B,6.24,7.70,-,0.72,0.93,3.98,44.49,-26.30%,4.95%,3.30%,-6.27%,14.80%,29.56,-0.14%,"13,155,270"
522,VIAV,3.94B,-,19.07,-,3.18,4.56,4.30,22.79,59.10%,4.83%,23.80%,15.00%,5.80%,16.95,2.42%,"2,500,744"
523,VICI,17.51B,14.98,13.99,2.08,11.68,1.28,26.16,73.10,40.40%,12.17%,-,7.20%,-,27.72,0.25%,"6,528,945"
524,VIRT,5.02B,7.08,9.63,-,1.80,2.13,7.34,6.19,-31.10%,-30.90%,54.30%,-2.71%,32.40%,27.34,-0.47%,"841,375"
525,VLY,5.75B,12.28,11.37,2.46,4.33,1.20,3.82,10.44,6.80%,2.31%,17.10%,5.00%,14.40%,13.59,0.97%,"1,880,861"
526,VNO,7.90B,-,52.84,-,5.11,1.53,3.71,26.16,-111.30%,22.93%,-22.50%,17.33%,-5.10%,40.79,-0.12%,"1,308,393"
527,VNOM,3.52B,-,25.08,-,8.47,2.27,84.81,17.58,-479.30%,51.20%,-62.30%,7.88%,27.30%,20.59,0.24%,"400,414"
528,VNT,5.24B,11.93,10.20,1.40,1.74,10.99,11.42,10.33,-22.20%,5.12%,6.50%,8.53%,3.80%,30.56,0.63%,"1,352,218"
529,VRRM,2.26B,124.15,15.64,4.03,4.71,9.58,17.66,20.55,-126.50%,35.21%,-,30.80%,-,14.65,0.62%,"767,362"
530,VRT,8.89B,397.14,18.93,17.97,1.82,11.22,-,29.40,33.30%,31.41%,-,22.10%,-,25.02,2.79%,"1,488,491"
531,VSAT,3.37B,95.37,95.17,3.88,1.33,1.27,15.49,-,300.00%,56.35%,-34.00%,24.60%,9.70%,45.68,2.54%,"594,883"
532,VSCO,4.44B,-,6.71,-,0.67,17.16,13.41,-,92.00%,2.25%,-,-,-,49.07,-1.82%,"1,722,780"
533,VSH,2.98B,10.05,9.15,0.44,0.97,1.74,3.25,11.43,-20.50%,-2.67%,25.80%,22.70%,1.70%,20.67,1.37%,"906,089"
534,VST,9.93B,-,12.20,-,0.88,1.65,28.29,-,-30.20%,209.00%,16.20%,21.80%,16.30%,20.70,-0.34%,"4,508,935"
535,VSTO,2.37B,6.40,6.03,2.10,0.91,2.55,8.93,10.87,265.60%,-13.09%,13.60%,3.05%,-0.40%,41.49,3.96%,"625,095"
536,VTR,20.07B,93.10,958.43,-,5.38,1.64,139.56,96.67,-0.40%,-57.50%,0.10%,-,2.90%,48.88,2.43%,"3,392,139"
537,VTRS,15.21B,-,3.41,-,0.89,0.73,18.02,7.53,-7.80%,0.38%,-21.60%,-0.35%,4.80%,12.69,-0.94%,"8,010,070"
538,VVV,6.34B,15.28,13.78,1.53,2.13,46.93,27.56,37.51,35.70%,19.67%,11.50%,10.00%,9.10%,35.20,1.18%,"1,515,175"
539,VZIO,3.69B,-,147.73,-,1.66,11.19,9.83,-,345.60%,148.10%,-,-,-,18.91,3.73%,"1,336,252"
540,WAFD,2.14B,13.74,10.85,1.96,3.63,1.22,0.98,9.79,5.80%,8.01%,6.00%,7.00%,2.00%,33.06,0.64%,"343,109"
541,WBA,42.70B,21.59,9.68,7.37,0.32,1.83,35.79,16.69,11.00%,4.14%,-9.70%,2.93%,2.50%,49.66,0.69%,"5,373,437"
542,WBT,3.36B,44.04,23.72,-,2.32,9.94,30.00,61.37,-113.20%,43.04%,-15.40%,-,-6.00%,23.65,-0.08%,"1,080,381"
543,WEBR,3.38B,69.16,16.19,3.97,1.70,-,23.05,-,77.50%,13.08%,-,17.40%,-,11.48,-0.17%,"464,343"
544,WEN,4.91B,27.01,24.98,1.13,2.59,9.14,8.59,24.16,-11.30%,10.38%,3.90%,23.85%,-1.50%,22.31,1.09%,"1,870,888"
545,WERN,3.12B,13.18,12.67,-,1.20,2.42,68.68,-,2.20%,12.72%,7.40%,-1.23%,2.50%,46.81,-0.45%,"648,540"
546,WES,8.26B,9.00,7.26,-,2.94,2.77,82.66,10.19,-25.60%,21.22%,24.70%,-3.70%,9.60%,19.95,1.63%,"1,073,085"
547,WFC,193.15B,11.64,13.21,-,4.82,1.18,0.39,-,-89.80%,-20.60%,-36.90%,-,-0.60%,48.94,0.10%,"20,148,758"
548,WHD,2.69B,55.90,27.47,1.30,7.13,4.70,8.90,64.78,-61.70%,99.55%,20.50%,43.00%,9.50%,36.84,-0.14%,"278,067"
549,WMB,31.54B,31.38,20.25,6.28,3.33,2.83,147.40,32.25,-75.90%,3.72%,17.30%,5.00%,1.00%,25.98,0.39%,"9,672,790"
550,WMG,21.77B,72.04,30.48,2.03,4.11,700.00,43.63,77.75,162.70%,34.83%,64.20%,35.42%,10.30%,42.00,3.32%,"921,537"
551,WOOF,5.73B,38.31,21.35,0.82,1.02,2.23,-,44.75,73.00%,0.68%,-26.70%,47.00%,2.20%,18.85,-1.98%,"1,655,249"
552,WRBY,4.89B,-,381.86,-,9.39,16.47,18.37,-,2.80%,-,-,-,-,43.15,-0.58%,"1,207,872"
553,WRK,11.65B,13.93,8.57,0.71,0.62,1.00,40.06,9.47,217.50%,8.40%,39.90%,19.52%,5.80%,43.56,0.58%,"1,517,285"
554,WSBC,2.11B,9.82,13.40,0.98,4.23,0.85,1.89,9.57,-37.20%,-26.35%,-3.80%,10.00%,15.60%,33.90,-0.29%,"389,780"
555,WSC,8.91B,70.12,31.47,1.48,4.91,4.58,788.72,18.06,418.00%,63.72%,-,47.30%,-,39.62,2.72%,"1,728,294"
556,WSFS,2.25B,8.34,12.87,0.70,4.74,1.19,1.11,10.09,-25.50%,-27.70%,3.90%,12.00%,23.00%,47.67,-2.14%,"604,227"
557,WU,7.30B,9.27,8.17,1.09,1.44,20.14,7.27,13.07,-27.00%,8.41%,2.00%,8.48%,-2.50%,18.33,0.71%,"8,206,684"
558,WWE,3.63B,31.52,20.62,1.84,3.55,9.85,8.09,27.62,83.20%,21.74%,37.70%,17.17%,8.10%,48.26,1.51%,"434,320"
559,WWW,2.45B,-,11.28,-,1.07,3.92,13.36,17.16,-217.70%,25.63%,-27.90%,5.00%,-7.80%,29.86,-0.90%,"1,106,273"
560,WY,29.37B,11.94,21.49,2.39,2.92,2.86,12.62,11.53,167.40%,-44.93%,8.60%,5.00%,7.50%,39.47,1.49%,"4,202,070"
561,X,6.19B,2.04,2.22,0.26,0.36,0.77,3.03,2.70,-61.10%,-33.51%,12.00%,8.00%,-3.40%,22.60,-1.65%,"18,971,721"
562,XPER,2.08B,16.14,10.57,1.08,1.89,1.52,8.75,4.83,229.60%,-9.30%,-4.90%,15.00%,26.70%,20.01,1.47%,"786,519"
563,XRX,3.68B,13.96,10.37,-,0.51,0.72,1.67,9.51,-67.20%,26.23%,-22.30%,-,-9.30%,20.70,0.68%,"2,587,541"
564,YELP,2.63B,71.99,54.52,-,2.65,3.35,-,14.08,-150.70%,80.33%,9.60%,-5.50%,9.70%,35.49,0.42%,"876,881"
565,ZIP,2.95B,182.79,147.98,-,4.64,14.62,14.37,25.50,725.70%,93.20%,-,-,-,24.86,0.89%,"939,525"
566,ZNGA,7.24B,-,15.47,-,2.66,2.32,5.40,24.76,0.00%,21.24%,-26.00%,6.69%,20.90%,6.36,2.91%,"16,206,748"
567,ZWS,4.24B,19.95,32.02,-,1.98,2.62,8.88,16.86,-28.80%,-35.45%,7.40%,-,-5.70%,35.45,-1.17%,"1,659,991"
